member_id,plan,renewal_month,reminder_sent,renewed
BK-87973,starter5,2026-06,1,1
BK-88048,athlete,2026-06,1,1
BK-88316,starter5,2026-06,1,1
BK-88845,campus,2026-06,0,0
BK-90164,campus,2026-06,0,0
BK-90373,classic10,2026-06,0,1
BK-90683,campus,2026-06,0,0
BK-91035,classic10,2026-06,1,1
BK-91162,campus,2026-06,0,0
BK-91267,athlete,2026-06,1,1
BK-91660,athlete,2026-06,1,1
BK-91684,starter5,2026-06,1,0
BK-92059,campus,2026-06,0,0
BK-92430,starter5,2026-06,1,0
BK-92655,classic10,2026-06,1,1
BK-92735,starter5,2026-06,1,0
BK-92871,classic10,2026-06,0,1
BK-93625,athlete,2026-06,1,1
BK-94920,family,2026-06,1,0
BK-95361,classic10,2026-06,0,1
BK-95422,campus,2026-06,0,0
BK-95542,family,2026-06,1,1
BK-95718,classic10,2026-06,1,1
BK-95967,campus,2026-06,0,1
BK-96155,starter5,2026-06,0,1
BK-96576,campus,2026-06,1,0
BK-96606,classic10,2026-06,1,1
BK-96948,campus,2026-06,0,0
BK-97019,classic10,2026-06,1,1
BK-97223,office,2026-06,1,1
BK-97466,starter5,2026-06,0,0
BK-97689,family,2026-06,1,1
BK-97932,starter5,2026-06,0,1
BK-98186,classic10,2026-06,1,1
BK-99313,office,2026-06,0,1
BK-99640,classic10,2026-06,0,0
BK-99924,athlete,2026-06,1,1
